dimension,metric_id,metric,score,message,metric_description,metric_type,metric_calculation,meta_metric_calculation,shape_name,shape_template,violations,violation_text,num_violations,vocab
Availability,A2,Accessibility of the RDF dumps,0,The dataset must provide an accessible RDF dump that can be downloaded.,Verifies whether an RDF dump is provided in the VoID description of the dataset.,binary,"1 if the VoID description has an indication of an RDF dump, otherwise 0.",,AvailabilityDump,ex:AvailabilityDumpShape\n\ta sh:NodeShape ;\n\tsh:targetClass void:Dataset ;\n\tsh:or (\n\t\t[\n\t\t\tsh:path void:dataDump ;\n\t\t\tsh:minCount 1 ;\n\t\t]\n\t\t[\n\t\t\tsh:path (dcat:distribution dcat:downloadURL) ;\n\t\t\tsh:minCount 1 ;\n\t\t]\n\t) .,,,0,
Licensing,L1,Machine-readable indication of a license in the VoID description.,0,The dataset must provide a machine readable indication of a license,Verifies if there's an indication of a machine-readable indication of a license in the VoID description of the dataset.,binary,"1 if the VoID description has a machine-readable indication of a license, otherwise 0.",,MachineReadableLicense,ex:MachineReadableLicenseShape\n\ta sh:NodeShape ;\n\tsh:targetClass void:Dataset ;\n\tsh:property [\n\t\tsh:path dcterms:license ;\n\t\tsh:class dcterms:LicenseDocument ;\n\t\tsh:minCount 1 ;\n\t] .,,,0,
Security,S2,Authenticity of the dataset,0,The dataset should specify the origin of the data,"Verifies there's someone responsible for the data (creator, contributor or publisher) and indication of the origin of the data (source or provenance) in the VoID description of the dataset.",binary,"1 if the VoID description has indication of someone responsible for the data, as well as indication of the origin of the data; otherwise 0.",,AuthenticityOfDataset,ex:AuthenticityOfDatasetShape\n\ta sh:NodeShape ;\n\tsh:targetClass void:Dataset ;\n\tsh:or (\n\t\t[ sh:path dcterms:contributor ; sh:minCount 1 ; ]\n\t\t[ sh:path dcterms:creator ; sh:minCount 1 ; ]\n\t\t[ sh:path dcterms:publisher ; sh:minCount 1 ; ]\n\t) ;\n\tsh:or (\n\t\t[ sh:path dcterms:source ; sh:minCount 1 ; ]\n\t\t[ sh:path dcterms:provenance ; sh:minCount 1 ; ]\n\t) .,,,0,
Understandability,U1,"Human-readable labelling of classes, properties and entities as well as presence of metadata.",1,,"Verifies the presence of a title, description and homepage in the VoID description of the dataset.",binary,"1 if the VoID description contains a title, description and homepage, otherwise 0.",,PresenceMetadata,ex:UnderstandabilityDatasetMetadataShape\n\ta sh:NodeShape ;\n\tsh:targetClass void:Dataset ;\n\tsh:property [\n\t\tsh:path dcterms:title ;\n\t\tsh:minCount 1 ;\n\t\tsh:nodeKind sh:Literal ;\n\t] ;\n\tsh:property [\n\t\tsh:path dcterms:description ;\n\t\tsh:minCount 1 ;\n\t\tsh:nodeKind sh:Literal ;\n\t] ;\n\tsh:property [\n\t\tsh:path foaf:homepage ;\n\t\tsh:minCount 1 ;\n\t\tsh:class foaf:Document ;\n\t] .,,,0,
Understandability,U2,Indication of one or more exemplary URIs,1,,Verifies if there's an indication of at least one exemplary URI in the VoID description of the dataset.,binary,"1 if the VoID description has an indication of an exemplary URI, otherwise 0.",,ExemplaryResources,ex:UnderstandabilityExtraMetadataShape\n\ta sh:NodeShape ;\n\tsh:targetClass void:Dataset ;\n\tsh:property [\n\t\tsh:path void:exampleResource ;\n\t\tsh:minCount 1 ;\n\t] ;\n\tsh:property [\n\t\tsh:path void:vocabulary ;\n\t\tsh:minCount 1 ;\n\t] ;\n\tsh:or (\n\t\t[\n\t\t\tsh:path void:uriRegexPattern ;\n\t\t\tsh:minCount 1 ;\n\t\t]\n\t\t[\n\t\t\tsh:path void:uriSpace ;\n\t\t\tsh:minCount 1 ;\n\t\t\tsh:nodeKind sh:Literal ;\n\t\t]\n\t) .,,,0,
Understandability,U3,Indication of a regular expression that matches the URIs of a dataset,1,,"Verifies if there's an indication of a regular expression for the URIs of the dataset, in the VoID description of the dataset.",binary,"1 if the VoID description has an indication of a regular expression for the URIs, otherwise 0.",,URIRegexPressence,ex:UnderstandabilityExtraMetadataShape\n\ta sh:NodeShape ;\n\tsh:targetClass void:Dataset ;\n\tsh:property [\n\t\tsh:path void:exampleResource ;\n\t\tsh:minCount 1 ;\n\t] ;\n\tsh:property [\n\t\tsh:path void:vocabulary ;\n\t\tsh:minCount 1 ;\n\t] ;\n\tsh:or (\n\t\t[\n\t\t\tsh:path void:uriRegexPattern ;\n\t\t\tsh:minCount 1 ;\n\t\t]\n\t\t[\n\t\t\tsh:path void:uriSpace ;\n\t\t\tsh:minCount 1 ;\n\t\t\tsh:nodeKind sh:Literal ;\n\t\t]\n\t) .,,,0,
Understandability,U3,Indication of a regular expression that matches the URIs of a dataset,1,,"Verifies if there's an indication of the URI namespace for the URIs of the dataset, in the VoID description of the dataset.",binary,"1 if the VoID description has an indication of the URI namespace, otherwise 0.",,URISpacePressence,ex:UnderstandabilityExtraMetadataShape\n\ta sh:NodeShape ;\n\tsh:targetClass void:Dataset ;\n\tsh:property [\n\t\tsh:path void:exampleResource ;\n\t\tsh:minCount 1 ;\n\t] ;\n\tsh:property [\n\t\tsh:path void:vocabulary ;\n\t\tsh:minCount 1 ;\n\t] ;\n\tsh:or (\n\t\t[\n\t\t\tsh:path void:uriRegexPattern ;\n\t\t\tsh:minCount 1 ;\n\t\t]\n\t\t[\n\t\t\tsh:path void:uriSpace ;\n\t\t\tsh:minCount 1 ;\n\t\t\tsh:nodeKind sh:Literal ;\n\t\t]\n\t) .,,,0,
Understandability,U5,Indication of the vocabularies used in the dataset,1,,Verifies if a list of vocabularies used in the dataset is provided in the VoID description of the dataset.,binary,"1 if the VoID description has an indication of the vocabularies used in the dataset, otherwise 0.",,VocabularyExistence,ex:UnderstandabilityExtraMetadataShape\n\ta sh:NodeShape ;\n\tsh:targetClass void:Dataset ;\n\tsh:property [\n\t\tsh:path void:exampleResource ;\n\t\tsh:minCount 1 ;\n\t] ;\n\tsh:property [\n\t\tsh:path void:vocabulary ;\n\t\tsh:minCount 1 ;\n\t] ;\n\tsh:or (\n\t\t[\n\t\t\tsh:path void:uriRegexPattern ;\n\t\t\tsh:minCount 1 ;\n\t\t]\n\t\t[\n\t\t\tsh:path void:uriSpace ;\n\t\t\tsh:minCount 1 ;\n\t\t\tsh:nodeKind sh:Literal ;\n\t\t]\n\t) .,,,0,
Versatility,V1,Provision of the data in different serialization formats,0,The property is present but the value is incorrect.,"Verifies if the data is provided in different serialization formats, by checking the VoID description of the dataset",binary,"1 if the VoID description has an indication of the serialization formats, otherwise 0.",,SerializationFormats,ex:SerializationFormatsShape\n\ta sh:NodeShape ;\n\tsh:targetClass void:Dataset ;\n\tsh:property [\n\t\tsh:path void:feature ;\n\t\tsh:minCount 1 ;\n\t\tsh:maxCount 5 ;\n\t\tsh:in (\n\t\t\t<http://www.w3.org/ns/formats/N3>\n\t\t\t<http://www.w3.org/ns/formats/N-Triples>\n\t\t\t<http://www.w3.org/ns/formats/RDF_XML>\n\t\t\t<http://www.w3.org/ns/formats/RDFa>\n\t\t\t<http://www.w3.org/ns/formats/Turtle>\n\t\t) ;\n\t] .,,,0,
Interlinking,I2,Existence of links to external data providers,0.5,The dataset doesn't contain links to external sources,Checks whether linked entities in the dataset are linked to external data providers.,count,1 - (Number of violations / Number of triples with INTERLINKING_PROPERTY),,UsageExternalURIEntities,"ex:UsageExternalURIShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf owl:sameAs ;\n\tsh:property [\n\t\tsh:path owl:sameAs ;\n\t\tsh:pattern \""^(?!DATASET_URI)\"" ;\n\t] .",http://example.org/pizza#linkedPizza; http://example.org/pizza#circular1; http://example.org/pizza#circular2,,3,
Performance,P1,Usage of slash-URIs ,0.1159420289855072,It's is recommended the usage of slash URIs,Verifies that entity's URIs don't have a hash (#),count,1 - (Number of violations / Number of entities),,UsageHashURIsEntities,"ex:UsageHashURIsShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdf:type ;\n\tsh:or (\n\t\t[ sh:path rdf:type ; sh:hasValue rdfs:Class ; ]\n\t\t[ sh:path rdf:type ; sh:hasValue rdf:Property ; ]\n\t\t[ sh:path rdf:type ; sh:hasValue owl:NamedIndividual ; ]\n\t\t[ sh:pattern \""^[^#]*$\"" ; ]\n\t) .",http://example.org/pizza#unlinkedPizza; http://example.org/pizza#customPizza; http://example.org/pizza#sciencePizza; http://example.org/pizza#customPizza_2; n8fab6a077e7f463f8410f141d9f2f89bb4; http://example.org/pizza#blankNodeInValue; http://example.org/pizza#noslashPizza; http://example.org/pizza#emptyLabelPizza; http://example.org/pizza#noLangLabel; http://example.org/pizza#mySpiceLevel; http://example.org/pizza#badBag; http://example.org/pizza#mozzarellaTopping; n8fab6a077e7f463f8410f141d9f2f89bb1; http://example.org/pizza#orphanPizza; http://example.org/pizza#multiTypePizza; http://example.org/pizza#emptyDescLangPizza; http://example.org/pizza#missingObjectPizza; n8fab6a077e7f463f8410f141d9f2f89bb2; http://example.org/pizza#tomatoTopping; http://example.org/pizza#chefMario; http://example.org/pizza#disjointPizza; http://example.org/pizza#duplicateTypesPizza; http://example.org/pizza#classicPizza; http://example.org/pizza#badPricePizza; http://example.org/pizza#badSeq; http://example.org/pizza#missingRequiredProp; http://example.org/pizza#englishLabelPizza; http://example.org/pizza#wrongBooleanPizza; http://example.org/pizza#circular1; http://example.org/pizza#labelNoLang; http://example.org/pizza#hawaiianPizza; http://example.org/pizza#classicOldPizza2; http://example.org/pizza#spicyPizza; http://example.org/pizza#namelessPizza; http://example.org/pizza#customPizza_3; http://example.org/pizza#veggiePizza; http://example.org/pizza#dateTimeInsteadOfDate; http://example.org/pizza#externalLinkPizza; http://example.org/pizza#confusedPizza; http://example.org/pizza#ingredient; http://example.org/pizza#goodPricePizza; http://example.org/pizza#circular2; http://example.org/pizza#langTagDecimal; http://example.org/pizza#myStore; http://example.org/pizza#weirdLangPizza; http://example.org/pizza#deprecatedPropPizza; http://example.org/pizza#tooSpicyPizza; http://example.org/pizza#labelWhitespacePizza; http://example.org/pizza#slashPizza; http://example.org/pizza#multiLangLabelPizza; http://example.org/pizza#multiLicensePizza; http://example.org/pizza#pizzaReUseTopping; http://example.org/pizza#multiLabelPizza; http://example.org/pizza#classicOldPizza1; http://example.org/pizza#wrongLangOnLiteralPizza; http://example.org/pizza#linkedPizza; http://example.org/pizza#meatLoversPizza; http://example.org/pizza#noTypeEntity; http://example.org/pizza#badLangDescription; http://example.org/pizza#noInterlink; http://example.org/pizza#person_1,,61,
