Group,Dimension,Metric,Shape,Type,Individual score,Aggregation
Accessibility,Availability,Accessibility of the rdf dump,AvailabilityDumpShape,Binary,"1 if there's an indication of a data dump, 0 otherwise",
Accessibility,Licensing,Machine readable license,MachineReadableShape,Binary,"1 if there's an indication of a machine-readable license, 0 otherwise",
Accessibility,Interlinking,Detection of good quality interlinks,OpenSameAsChainsShapes,Need assumption,,
Accessibility,Interlinking,Existence of links to external data providers,UsageExternalURIShape,Ratio,# violations / # entities  with interlinking property,
Accessibility,Security ,Digital signatures,DigitalSignatureShape,Need domain knowledge,,
Accessibility,Security ,Digital signatures,DigitalSignaturePropertiesShape,Need domain knowledge,,
Accessibility,Security ,Authenticity of dataset,AuthenticityOfDatasetShape,Binary,"1 if the dataset specifies someone responsible and the origin of the data, 0 otherwise",
Accessibility,Performance,Usage of slash-URIs,UsageHashURIsEntities,Ratio,# violations  / # entities,
Intrinsic,Syntactic Validity,Allowed values,RangeAllowedValuesShape,Need domain knowledge,,
Intrinsic,Syntactic Validity,Allowed values,AllowedValuesShape,Need domain knowledge,,
Intrinsic,Syntactic Validity,Allowed values,AllowedValuesAtLeastOneShape,Need domain knowledge,,
Intrinsic,Syntactic Validity,Syntactic rules,SyntacticRulesShape,Need domain knowledge,,
Intrinsic,Syntactic Validity,RDF pattern and types,TypeDefinitionClass,Binary,,
Intrinsic,Syntactic Validity,RDF pattern and types,TypeDefinitionProperties,Binary,,
Intrinsic,Syntactic Validity,Malformed literals,MalformedDatatypeLiteralesShape,Composite,# violations / # subjects that use the property,# properties correctly used / # properties with a datatype range
Intrinsic,Semantic accuracy,Inaccurate values,InaccurateValuesShape,Need domain knowledge,,
Intrinsic,Semantic accuracy,Inaccurate annotations & classifications,InaccurateAnnotations,Need domain knowledge,,
Intrinsic,Semantic accuracy,Inaccurate annotations & classifications,InaccurateClassifications,Need domain knowledge,,
Intrinsic,Consistency,Entities in disjoint classes,EntitiesDisjointClassesShape,Ratio,number of violations / number of entities of the target class,# disjoint classes correctly used / # disjoint classes
